Grant_Fiscal_Year,Funding_Program,Grant_Number,Project_Year,Organization_Name,UPIN,Description,ALI,Contract_Number,AllocationAmount,Encumbered_Amount,ExpendedAmount,ActiveBalance,ClosedOutBalance,Project_Status
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Mendocino Transit Authority,BCG0001207,Operating Assistance Sliding Scale,300902,64CO18-00589,122833.0,122833.0,122833.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Modoc Transportation Agency,BCG0001099,Operating Assistance Sliding Scale,300902,64CO18-00581,86104.0,86104.0,86104.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Modoc Transportation Agency,BCG0001100,Operating Assistance Sliding Scale,300902,64CO18-00581,19536.0,19536.0,19536.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Modoc Transportation Agency,BCG0001101,Operating Assistance Sliding Scale,300902,64CO18-00581,17011.0,17011.0,17011.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Monterey-Salinas Transit,BCG0001186,Operating Assistance Sliding Scale,300902,64CO18-00594,557952.0,557952.0,557952.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Mountain Area Regional Transit Authority,BCG0001274,Operating Assistance Sliding Scale,300902,64CO18-00590,149361.0,149361.0,149361.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Napa Valley Transportation Authority,BCG0001119,Operating Assistance Sliding Scale,300902,64CO18-00584,222000.0,222000.0,222000.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Plumas County Transportation Commission,BCG0001327,Operating Assistance Sliding Scale ,300902,64CO18-00595,168792.0,168792.0,156283.14,12508.86,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Redwood Coast Transit Authority,BCG0001242,Operating Assistance Sliding Scale,300902,64CO18-00599,122833.0,122833.0,122833.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,San Diego Metropolitan Transit System,BCG0001134,Operating Assistance Sliding Scale ,300902,64CO18-00587,203500.0,203500.0,203500.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Sunline Transit Agency,BCG0001299,Operating Assistance Sliding Scale,300902,64CO18-00598,204721.0,204721.0,204721.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Trinity County Department of Transportation ,BCG0001248,Operating Assistance Sliding Scale,300902,64CO18-00597,228361.0,228361.0,228361.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Yosemite Area Regional Transportation System ,BCG0001177,Operating Assistance Sliding Scale,300902,64CO18-00592,222000.0,222000.0,222000.0,0.0,0,Open
2018,CMAQ (FTA 5311),CA-2018-133 | 0019000013,2018,City of Dinuba ,BCG0001296,Purchase Replacement Std 35 Ft Bus,111202,64HC19-00884,132000.0,132000.0,132000.0,0.0,0,Open
2018,CMAQ (FTA 5311),CA-2018-133 | 0019000013,2018,Mountain Area Regional Transit Authority,BCG0001351,Purchase Replacement < 30 Ft Bus,111204,64HC19-00883,-17205.0,150000.0,0.0,-17205.0,0,Open
2018,CMAQ (FTA 5311),CA-2018-133 | 0019000013,2018,Mountain Area Regional Transit Authority,BCG0001351,Purchase Replacement < 30 Ft Bus,111204,64HC19-00883,17205.0,150000.0,0.0,17205.0,0,Open
2018,CMAQ (FTA 5311),CA-2018-133 | 0019000013,2018,Mountain Area Regional Transit Authority,BCG0001351,Purchase Replacement < 30 Ft Bus,111204,64HC19-00883,132795.0,150000.0,0.0,132795.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Alpine County Community Development,BCG0001170,Operating Assistance Sliding Scale,300902,64BO19-00873,48000.0,48000.0,46603.59,1396.41,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Amador Transit,BCG0001223,Operating Assistance Sliding Scale,300902,64BO19-00874,210202.0,210202.0,210202.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Butte County Association of Governments/ Butte Regional Transit,BCG0001160,Operating Assistance Sliding Scale,300902,64BO19-00817,672274.0,672274.0,672274.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Arcata,BCG0001203,Operating Assistance Sliding Scale,300902,64BO19-00803,157780.0,157780.0,157780.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Arvin,BCG0001056,Operating Assistance Sliding Scale,300902,64BO19-00843,66729.0,66729.0,66729.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Auburn,BCG0001270,Operating Assistance Sliding Scale,300902,64BO19-00818,80731.0,80731.0,80731.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of California City,BCG0001110,Operating Assistance Sliding Scale,300902,64BO19-00868,44507.0,44507.0,44507.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Chowchilla ,BCG0001139,Operating Assistance Sliding Scale ,300902,64BO19-00844,62279.0,62279.0,62279.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Corcoran - Corcoran Area Transit,BCG0001310,Operating Assistance Sliding Scale,300902,64BO19-00845,115819.0,115819.0,115819.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Dinuba ,BCG0001205,Operating Assistance Sliding Scale,300902,64BO19-00846,199499.0,199499.0,199499.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Dixon,BCG0001232,Operating Assistance Sliding Scale,300902,64BO19-00830,363122.0,363122.0,363122.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Guadalupe,BCG0001090,Operating Assistance Sliding Scale,300902,64BO19-00886,59733.0,59733.0,59733.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of McFarland,BCG0001322,Operating Assistance Sliding Scale ,300902,64BO19-00847,46626.0,46626.0,46626.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Needles,BCG0001249,Operating Assistance Sliding Scale,300902,64BO19-00862,38212.0,38212.0,38212.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Ojai,BCG0001305,Operating Assistance Sliding Scale,300902,64BO19-00860,389313.0,389313.0,378080.08,11232.92,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Porterville,BCG0001302,Operating Assistance Sliding Scale,300902,64BO19-00848,183260.0,183260.0,151633.49,31626.51,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Ridgecrest,BCG0001069,Operating Assistance Sliding Scale,300902,64BO19-00869,89269.0,89269.0,89269.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Rio Vista,BCG0001387,Operating Assistance Sliding Scale,300902,64BO19-00831,35000.0,35000.0,35000.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Shafter,BCG0001061,Operating Assistance Sliding Scale,300902,64BO19-00849,57409.0,57409.0,57409.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Solvang,BCG0001318,Operating Assistance Sliding Scale,300902,64BO19-00838,195537.0,195537.0,195537.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Taft,BCG0001303,Operating Assistance Sliding Scale,300902,64BO19-00850,29916.0,29916.0,29916.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Tehachapi,BCG0001040,Operating Assistance Sliding Scale ,300902,64BO19-00870,38861.0,38861.0,38861.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Wasco,BCG0001210,Operating Assistance Sliding Scale,300902,64BO19-00851,84202.0,84202.0,84202.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Woodlake,BCG0001286,Operating Assistance Sliding Scale ,300902,64BO19-00853,2709.0,2709.0,2709.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Woodlake,BCG0001287,Purchase Replacement < 30 Ft Bus ,111204,,-88530.0,0.0,0.0,-88530.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,City of Woodlake,BCG0001287,Purchase Replacement < 30 Ft Bus ,111204,,88530.0,0.0,0.0,88530.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Colusa County Transit Agency,BCG0001263,Operating Assistance Sliding Scale,300902,64BO19-00819,118199.0,118199.0,118199.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,County Connection (Central Contra Costa Transit Authority),BCG0001211,Operating Assistance Sliding Scale,300902,64BO19-00832,50412.0,50412.0,0.0,50412.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,County of Los Angeles - Department of Public Works,BCG0001058,Operating Assistance Sliding Scale,300902,64BO19-00861,413632.0,413632.0,413632.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,County of Mariposa,BCG0001182,Operating Assistance Sliding Scale,300902,64BO19-00875,100716.0,100716.0,100716.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,"County of Nevada Public Works, Transit Services Division",BCG0001192,Operating Assistance Sliding Scale,300902,64BO19-00820,459615.0,459615.0,459615.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,County of Sacramento Department of Transportation,BCG0001092,Operating Assistance Sliding Scale,300902,64BO19-00821,284225.0,284225.0,284225.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,County of Shasta Department of Public Works,BCG0001269,Operating Assistance Sliding Scale ,300902,64BO19-00811,160824.0,542398.0,167477.0,-6653.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,County of Shasta Department of Public Works,BCG0001269,Operating Assistance Sliding Scale ,300902,64BO19-00811,167477.0,542398.0,167477.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,County of Shasta Department of Public Works,BCG0001269,Operating Assistance Sliding Scale ,300902,64BO19-00811,167477.0,542398.0,167477.0,167477.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,County of Siskiyou,BCG0001039,Operating Assistance Sliding Scale,300902,64BO19-00812,247776.0,247776.0,247776.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,County of Tulare,BCG0001226,Operating Assistance Sliding Scale,300902,64BO19-00854,367300.0,367300.0,367300.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Eastern Sierra Transit Authority,BCG0001108,Operating Assistance Sliding Scale,300902,64BO19-00871,102344.0,102344.0,102344.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Eastern Sierra Transit Authority,BCG0001113,Operating Assistance Sliding Scale,300902,64BO19-00872,78372.0,78372.0,78372.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,El Dorado County Transit Authority,BCG0001259,Operating Assistance Sliding Scale,300902,64BO19-00822,490631.0,490631.0,490631.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Eureka Transit Service,BCG0001291,Operating Assistance Sliding Scale,300902,64BO19-00804,196769.0,196769.0,196769.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Fresno County Rural Transit Agency,BCG0001319,Operating Assistance Sliding Scale,300902,64BO19-00855,752588.0,1522098.0,752588.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Glenn County Transportation Commission,BCG0001214,Operating Assistance Sliding Scale,300902,64BO19-00823,155189.0,155189.0,155189.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Humboldt Transit Authority,BCG0000528,Buy <30-Ft Bus For Expansion ,111304,64BC19-00805,146075.0,146075.0,146075.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Humboldt Transit Authority,BCG0001235,Operating Assistance Sliding Scale,300902,64BO19-00806,242280.0,242280.0,242280.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Imperial County Transportation Commission,BCG0001233,Operating Assistance Sliding Scale ,300902,64BO19-00880,363359.0,363359.0,301911.0,61448.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Kern Regional Transit,BCG0001131,Operating Assistance Sliding Scale,300902,64BO19-00856,984248.0,984248.0,984248.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Kings County Area Public Transit Agency,BCG0001175,Operating Assistance Sliding Scale,300902,64BO19-00857,243104.0,243104.0,188425.0,54679.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Lake Transit Authority,BCG0001143,Operating Assistance Sliding Scale ,300902,64BO19-00807,356848.0,356848.0,356848.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Lassen Transit Service Agency,BCG0001047,Operating Assistance Sliding Scale,300902,64BO19-00813,192565.0,192565.0,192565.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Madera County,BCG0001244,Operating Assistance Sliding Scale,300902,64BO19-00859,277667.0,277667.0,230366.38,47300.62,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Madera County,BCG0001245,Preventive Maintenance,117A00,64BC19-00858,59874.0,59874.0,59873.72,0.28,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Marin County Transit District,BCG0001114,Operating Assistance Sliding Scale,300902,64BO19-00833,207226.0,207226.0,207226.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Mendocino Transit Authority,BCG0001206,Operating Assistance Sliding Scale ,300902,64BO19-00808,484742.0,484742.0,484724.0,18.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Modoc Transportation Agency,BCG0001156,Operating Assistance - Dial A Ride (FY 17/18),300902,64BO19-00814,53451.0,53451.0,53451.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Monterey-Salinas Transit,BCG0001171,Operating Assistance Sliding Scale,300902,64BO19-00839,601291.0,601291.0,601291.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Morongo Basin Transit Authority,BCG0001050,Operating Assistance Sliding Scale,300902,64BO19-00863,383937.0,383937.0,383937.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Mountain Area Regional Transit Authority,BCG0001317,Operating Assistance Sliding Scale,300902,64BO19-00864,271420.0,271420.0,271420.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Napa Valley Transportation Authority,BCG0001124,Operating Assistance Sliding Scale,300902,64BO19-00834,206567.0,206567.0,206567.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,North County Transit District,BCG0001184,Operating Assistance Sliding Scale,300902,64BO19-00881,424310.0,424310.0,424310.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Placer County Public Works (TART & PCT),BCG0001300,Operating Assistance Sliding Scale,300902,64BO19-00824,378842.0,378842.0,378842.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Plumas County Transportation Commission,BCG0001326,Operating Assistance Sliding Scale ,300902,64BO19-00815,110407.0,110407.0,110407.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Redwood Coast Transit Authority,BCG0001260,Preventive Maintenance,117A00,64BC19-00810,48999.0,48999.0,48999.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Redwood Coast Transit Authority,BCG0001261,Operating Assistance Sliding Scale,300902,64BO19-00809,108883.0,108883.0,108883.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Riverside Transit Agency,BCG0001154,Operating Assistance Sliding Scale,300902,64BO19-00865,568468.0,568468.0,568468.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,San Benito County Local Transportation Authority,BCG0001197,Operating Assistance Sliding Scale,300902,64BO19-00840,304997.0,304997.0,304997.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,San Diego Metropolitan Transit System,BCG0001130,Operating Assistance Sliding Scale ,300902,64BO19-00882,275000.0,275000.0,146990.0,128010.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,San Luis Obispo Regional Transit Authority,BCG0001174,Operating Assistance Sliding Scale,300902,64BO19-00841,514696.0,514696.0,514696.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,San Mateo County Transit District,BCG0001072,Operating Assistance Sliding Scale,300902,64BO19-00835,152613.0,152613.0,152613.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Santa Clara Valley Transportation Authority,BCG0001238,Operating Assistance Sliding Scale,300902,64BO19-00836,78824.0,78824.0,78824.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Santa Cruz Metropolitan Transit District,BCG0001267,Operating Assistance Sliding Scale,300902,64BO19-00842,174321.0,174321.0,174321.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Sierra County Transportation Commission,BCG0001158,Operating Assistance Sliding Scale,300902,64BO19-00825,48000.0,48000.0,48000.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Sonoma County Transit,BCG0001275,Purchase Replacement < 30 Ft Bus,111204,64BC19-00837,67357.0,67357.0,67357.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Sonoma County Transit,BCG0001276,Purchase Replacement < 30 Ft Bus,111204,64BC19-00837,67357.0,67357.0,67357.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Sonoma County Transit,BCG0001277,Purchase Replacement < 30 Ft Bus,111204,64BC19-00837,67357.0,67357.0,67357.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Sonoma County Transit,BCG0001278,Purchase Replacement < 30 Ft Bus,111204,64BC19-00837,67357.0,67357.0,67357.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Sonoma County Transit,BCG0001279,Purchase Replacement Van,111215,64BC19-00837,42924.0,42924.0,42924.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Sonoma County Transit,BCG0001280,Purchase Replacement < 30 Ft Bus,111204,64BC19-00837,80219.0,80219.0,80219.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Sonoma County Transit,BCG0001281,Purchase Replacement < 30 Ft Bus,111204,64BC19-00837,80219.0,80219.0,80219.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Stanislaus County Public Works - Transit Division,BCG0001256,Operating Assistance Sliding Scale,300902,64BO19-00877,447901.0,447901.0,447901.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Sunline Transit Agency,BCG0001298,Operating Assistance Sliding Scale,300902,64BO19-00866,352874.0,352874.0,352874.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Town of Truckee,BCG0001149,Operating Assistance Sliding Scale,300902,64BO19-00826,85405.0,85405.0,85405.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Transit Joint Powers Authority for Merced County,BCG0001183,Operating Assistance Sliding Scale ,300902,64BO19-00878,507341.0,507341.0,507341.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Trinity County Department of Transportation ,BCG0001258,Operating Assistance Sliding Scale,300902,64BO19-00816,76077.0,76077.0,70949.64,5127.36,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Tuolumne County Transit Agency (TCTA),BCG0001132,Operating Assistance Sliding Scale,300902,64BO19-00879,305527.0,305527.0,305527.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Victor Valley Transit Authority,BCG0001142,Operating Assistance Sliding Scale ,300902,64BO19-00867,647285.0,647285.0,647285.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Yolo County Transportation District,BCG0001312,Operating Assistance Sliding Scale,300902,64BO19-00827,135210.0,135210.0,135210.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Yuba-Sutter Transit Authority,BCG0001250,Operating Assistance Sliding Scale ,300902,64BO19-00828,200000.0,200000.0,200000.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Yuba-Sutter Transit Authority,BCG0001292,Purchase Replacement < 30 Ft Bus ,111204,64BC19-00829,13100.2,75000.0,13100.2,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Yuba-Sutter Transit Authority,BCG0001294,Purchase Replacement < 30 Ft Bus ,111204,64BC19-00829,13100.2,75000.0,13100.2,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Yuba-Sutter Transit Authority,BCG0001295,Purchase Replacement < 30 Ft Bus ,111204,64BC19-00829,13100.2,75000.0,13100.2,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Yuba-Sutter Transit Authority,BCG0001461,Purchase Replacement < 30 Ft Bus ,111204,64BC19-00829,13100.2,75000.0,13100.2,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2018,Yuba-Sutter Transit Authority,BCG0001464,Purchase Replacement < 30 Ft Bus,111204,64BC19-00829,13100.2,75000.0,13100.2,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2019,Calaveras Transit Agency ,BCG0001559,Operating Assistance Sliding Scale,300902,64BO19-00915,251518.0,512618.0,251518.0,0.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2019,Fresno County Rural Transit Agency,BCG0001467,Operating Assistance Sliding Scale,300902,64BO19-00951,57988.0,1580086.0,0.0,57988.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2019,San Joaquin Regional Transit District,BCG0001571,Operating Assistance Sliding Scale ,300902,64BO19-00978,412987.0,1110615.0,317739.08,95247.92,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2019,Tehama County Transit Agency,BCG0001497,Purchase Replacement < 30 Ft Bus,111204,64BC19-00970,353664.0,713772.0,0.0,353664.0,0,Open
2018,Section 5311,CA-2018-114 | 0019000012,2020,County of Tulare,BCG0002414,Operating Assistance Sliding Scale,300902,64BO20-01421,88530.0,450810.0,88530.0,0.0,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Butte County Association of Governments/ Butte Regional Transit,BCG0001600,Operating Assistance Sliding Scale ,300902,64CO19-00995,300000.0,300000.0,188064.27,111935.73,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,City of Santa Maria,BCG0001618,Operating Assistance Sliding Scale,300902,64CO19-00996,167639.0,242523.0,112571.69,55067.31,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,City of Visalia,BCG0001621,Operating Assistance Sliding Scale,300902,64CO19-00997,300000.0,434010.0,106715.69,193284.31,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Eastern Sierra Transit Authority,BCG0001590,Operating Assistance Sliding Scale,300902,64CO19-00998,263461.0,388742.0,192841.43,70619.57,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Eastern Sierra Transit Authority,BCG0001591,Operating Assistance Sliding Scale,300902,64CO19-00998,144227.0,144227.0,116758.38,27468.62,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Fresno Council of Governments,BCG0001598,Operating Assistance Sliding Scale,300902,64CO19-00999,120000.0,120000.0,84371.69,35628.31,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,"Greyhound Lines, Inc.",BCG0001613,Operating Assistance Sliding Scale ,300902,64CO19-01000,300000.0,434010.0,299999.99,0.01,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Humboldt Transit Authority,BCG0001616,Operating Assistance Sliding Scale,300902,64CO19-01001,300000.0,300000.0,300000.0,0.0,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Kern Regional Transit,BCG0001610,Operating Assistance Sliding Scale ,300902,64CO19-01002,300000.0,300000.0,300000.0,0.0,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Lake Transit Authority,BCG0001624,Operating Assistance Sliding Scale - Clearlake to Ukiah Intercity,300902,64CO19-01003,229131.0,229131.0,217313.69,11817.31,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Lake Transit Authority,BCG0001625,Operating Assistance Sliding Scale - Calistoga to Upper Lake Intercity,300902,64CO19-01003,260635.0,260635.0,219042.27,41592.73,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Mendocino Transit Authority,BCG0001619,Operating Assistance Sliding Scale,300902,64CO19-01004,300000.0,300000.0,300000.0,0.0,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Modoc Transportation Agency,BCG0001585,Operating Assistance Sliding Scale - Reno,300902,64CO19-01005,124264.0,124264.0,66622.53,57641.47,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Modoc Transportation Agency,BCG0001586,Operating Assistance Sliding Scale - Redding,300902,64CO19-01005,30117.0,30117.0,21478.0,8639.0,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Modoc Transportation Agency,BCG0001587,Operating Assistance Sliding Scale - Klamath Falls,300902,64CO19-01005,23831.0,23831.0,12698.0,11133.0,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Monterey-Salinas Transit,BCG0001604,FY20 Line 82 Operating Assistance Sliding Scale,300902,64CO19-01006,160347.0,160347.0,117490.96,42856.04,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Monterey-Salinas Transit,BCG0001605,FY20 Line 84 Operating Assistance Sliding Scale,300902,64CO19-01006,300000.0,300000.0,159381.7,140618.3,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Monterey-Salinas Transit,BCG0001608,FY20 Line 85 Operating Assistance Sliding Scale,300902,64CO19-01006,300000.0,300000.0,255094.87,44905.13,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Monterey-Salinas Transit,BCG0001609,FY20 Line 86 Operating Assistance Sliding Scale,300902,64CO19-01006,232552.0,232552.0,173837.55,58714.45,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Mountain Area Regional Transit Authority,BCG0001626,Operating Assistance Sliding Scale,300902,64CO19-01007,214772.0,214772.0,214772.0,0.0,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Napa Valley Transportation Authority,BCG0001614,Operating Assistance Sliding Scale,300902,64CO19-01008,300000.0,300000.0,269044.6,30955.4,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Plumas County Transportation Commission,BCG0001583,Operating Assistance Sliding Scale ,300902,64CO19-01009,272198.0,393788.0,272198.0,0.0,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,Redwood Coast Transit Authority,BCG0001623,Operating Assistance Sliding Scale,300902,64CO19-01010,175000.0,175000.0,175000.0,0.0,0,Open
2019,5311(f) Round 2,CA-2020-015 | 0020000057-F,2019,San Diego Metropolitan Transit System,BCG0001611,Operating Assistance Sliding Scale ,300902,64CO19-01011,300000.0,300000.0,300000.0,0.0,0,Open
