Name,Services,GTFS Dataset,Dataset Type,Category,agency_id,network_id,Service Type (from Services),Provider,Operator,Dataset Producers (from GTFS Dataset),Dataset Publisher (from GTFS Dataset),GTFS Dataset Type,Pathways Status,Fares v2 Status,Flex Status,Schedule Comments (from GTFS Dataset),ITP Activities (from GTFS Dataset),ITP Schedule TODO (from GTFS Dataset),Fares Notes (from GTFS Dataset),route_id,Reference Static GTFS Service,URI,Currently Operating (from Services),Provider Reporting Category,Reference Static Feed
Victor Valley Transit – Victor Valley Schedule,Victor Valley Transit,Victor Valley Schedule,GTFS Schedule,primary,,,fixed-route,Victor Valley Transit Authority,Victor Valley Transit Authority,"Victor Valley Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/victorville-ca-us/victorville-ca-us.zip,1 checked out of 1,Core,
Visalia Transit – Visalia Schedule,Visalia Transit,Visalia Schedule,GTFS Schedule,primary,,,fixed-route,City of Visalia,City of Visalia,GMV Syncromatics Inc,GMV Syncromatics Inc,GTFS Schedule,NA,Unknown,,,,,A GMV cilent. They're figuring out internally how to pass through Fare data.,,,https://visaliatransit.info/GTFS,1 checked out of 1,Core,
Yolobus – Yolobus Schedule,Yolobus,Yolobus Schedule,GTFS Schedule,primary,d139e461-175c-4156-beb0-e6a23b64d978,,"fixed-route,deviated fixed-route",Yolo County Transportation District,Yolo County Transportation District,Yolo County Transportation District,Yolo County Transportation District,GTFS Schedule,NA,Provider to Publish,Needed - Existing GTFS,,,,Part of the regional data SacRT agreed to publish in October,,,http://www.yolobus.com/GTFS/google_transit.zip,1 checked out of 1,Core,
Yosemite Area Regional Transportation System – YARTS Schedule,Yosemite Area Regional Transportation System,YARTS Schedule,GTFS Schedule,primary,,,"seasonal,fixed-route",Yosemite Area Regional Transportation System,Yosemite Area Regional Transportation System,Yosemite Area Regional Transportation System,Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/yosemite-ca-us/yosemite-ca-us.zip,1 checked out of 1,Core,
Yuba-Sutter Transit – Yuba-Sutter Schedule,Yuba-Sutter Transit,Yuba-Sutter Schedule,GTFS Schedule,primary,,local,fixed-route,Yuba-Sutter Transit Authority,Yuba-Sutter Transit Authority,"Yuba-Sutter Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/yubasutter-ca-us/yubasutter-ca-us.zip,1 checked out of 1,Core,
Yuma County Area Transit – Yuma Schedule,Yuma County Area Transit,Yuma Schedule,GTFS Schedule,primary,,,fixed-route,Yuma County Intergovernmental Public Transportation Authority,Yuma County Intergovernmental Public Transportation Authority,Yuma County Intergovernmental Public Transportation Authority,,GTFS Schedule,NA,Unknown,,,,,Ruth cold-emailed their service manager.,,,https://www.ycipta.org/gtfs/google_transit.zip,1 checked out of 1,Core,
Mountain Transit – Mountain Transit Schedule,Mountain Transit,Mountain Transit Schedule,GTFS Schedule,primary,,,fixed-route,Mountain Area Regional Transit Authority,Mountain Area Regional Transit Authority,"Mountain Area Regional Transit Authority,TransLoc",TransLoc,GTFS Schedule,NA,Vendor published,,,,,,,,https://api.transloc.com/gtfs/mountaintransit.zip,1 checked out of 1,Other Public Transit,
Glenn Ride – Glenn Schedule,Glenn Ride,Glenn Schedule,GTFS Schedule,primary,,,"deviated fixed-route,fixed-route,ADA paratransit",Glenn County,Paratransit Services Inc.,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Vendor published,Trillium - Coded,,"GTFS Into Google,GTFS Schedule Creation",Train transit provider to own,,,,http://data.trilliumtransit.com/gtfs/glenn-ca-us/glenn-ca-us.zip,1 checked out of 1,Core,
Lynwood Breeze – Lynwood Schedule,Lynwood Breeze,Lynwood Schedule,GTFS Schedule,primary,,,fixed-route,City of Lynwood,Parking Company of America,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/lynwood-ca-us/lynwood-ca-us.zip,1 checked out of 1,Core,
Lassen Rural Bus – Lassen Schedule,Lassen Rural Bus,Lassen Schedule,GTFS Schedule,primary,,,"fixed-route,deviated fixed-route,ADA paratransit",Lassen Transit Service Agency,Lassen Transit Service Agency,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Vendor published,Trillium - To code,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/lassen-ca-us/lassen-ca-us.zip,1 checked out of 1,Core,
TRACER – Tracy Schedule,TRACER,Tracy Schedule,GTFS Schedule,primary,,,fixed-route,City of Tracy,City of Tracy,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Unknown,,,,,,,,http://data.trilliumtransit.com/gtfs/tracy-ca-us/tracy-ca-us.zip,1 checked out of 1,Core,
Sanger Express – Fresno County Schedule,Sanger Express,Fresno County Schedule,GTFS Schedule,primary,171,,"fixed-route,reservations",Fresno County Rural Transit Agency,Fresno County Rural Transit Agency,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Unknown,Needed - Existing GTFS,,,,A Trapeze client. Trapeze offered to facilitate a pilot once SacRT is complete. Ruth also emailed mstites@fresnocog.org in October.,6316,,http://data.trilliumtransit.com/gtfs/fresnocounty-ca-us/fresnocounty-ca-us.zip,1 checked out of 1,Core,
LAX Fly Away – LAX FlyAway Schedule,LAX Fly Away,LAX FlyAway Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles World Airports,Coach USA Inc.,Los Angeles World Airports,Los Angeles World Airports,GTFS Schedule,NA,Provider published,,,,,Lilly facilitated an introduction and they're now publishing the Fares data we gave them.,,,https://www.flylax.com/-/media/flylax/flyaway/gtfs/google_transit.ashx,1 checked out of 1,Other Public Transit,
California Zephyr – Amtrak Schedule,California Zephyr,Amtrak Schedule,GTFS Schedule,primary,,,fixed-route,Amtrak,Amtrak,Amtrak,California Integrated Travel Project,GTFS Schedule,NA,Unknown,,,,,,"96,93",,https://content.amtrak.com/content/gtfs/GTFS.zip,1 checked out of 1,Other Public Transit,
Taft Area Transit – Taft Schedule,Taft Area Transit,Taft Schedule,GTFS Schedule,primary,,,fixed-route,City of Taft,City of Taft,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Needs GTFS Schedule,,,GTFS Schedule Creation,"Get into google,Ask Kern to own",,,,http://data.trilliumtransit.com/gtfs/taft-co-us/taft-ca-us.zip,1 checked out of 1,Core,
Gateway Coach – Sierra Madre Schedule,Gateway Coach,Sierra Madre Schedule,GTFS Schedule,primary,,,fixed-route,City of Sierra Madre,City of Sierra Madre,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,Needs GTFS Schedule,,,GTFS Schedule Creation,Get into google,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/sierramadre-ca-us/sierramadre-ca-us.zip,1 checked out of 1,Other Public Transit,
Rosemead Explorer – Rosemead Schedule,Rosemead Explorer,Rosemead Schedule,GTFS Schedule,primary,,,fixed-route,First Transit,City of Rosemead,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,Needs GTFS Schedule,,,GTFS Schedule Creation,Get into google,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/rosemead-ca-us/rosemead-ca-us.zip,1 checked out of 1,,
Get Around Town Express – Get Around Town Express Schedule,Get Around Town Express,Get Around Town Express Schedule,GTFS Schedule,primary,,,fixed-route,City of South Gate,City of South Gate,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,Needs GTFS Schedule,,,GTFS Schedule Creation,Get into google,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/getaroundtownexpress-ca-us/getaroundtownexpress-ca-us.zip,1 checked out of 1,Core,
Elk Grove Transit Services – Elk Grove Schedule,Elk Grove Transit Services,Elk Grove Schedule,GTFS Schedule,primary,,,fixed-route,Sacramento Regional Transit District,Sacramento Regional Transit District,GMV Syncromatics Inc,City of Elk Grove,GTFS Schedule,NA,,,,,,,,,https://elkgrovetransit.com/gtfs,1 checked out of 1,Core,
Reds Meadow Shuttle – Eastern Sierra Schedule,Reds Meadow Shuttle,Eastern Sierra Schedule,GTFS Schedule,primary,,,"fixed-route,seasonal,reservations",Eastern Sierra Transit Authority,Eastern Sierra Transit Authority,"Eastern Sierra Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,Needed - Special service,,,,Published by Trillium,?,,http://data.trilliumtransit.com/gtfs/easternsierra-ca-us/easternsierra-ca-us.zip,1 checked out of 1,Core,
ESTA 395 Routes – Eastern Sierra Schedule,ESTA 395 Routes,Eastern Sierra Schedule,GTFS Schedule,primary,,,"fixed-route,reservations",Eastern Sierra Transit Authority,Eastern Sierra Transit Authority,"Eastern Sierra Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,Needed - Existing GTFS,,,,Published by Trillium,"561,562,563,564",,http://data.trilliumtransit.com/gtfs/easternsierra-ca-us/easternsierra-ca-us.zip,1 checked out of 1,Core,
Mammoth Lakes Trolleys – Eastern Sierra Schedule,Mammoth Lakes Trolleys,Eastern Sierra Schedule,GTFS Schedule,primary,,,fixed-route,Eastern Sierra Transit Authority,Eastern Sierra Transit Authority,"Eastern Sierra Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,6178,,http://data.trilliumtransit.com/gtfs/easternsierra-ca-us/easternsierra-ca-us.zip,1 checked out of 1,Core,
Eureka Transit Service – Humboldt Schedule,Eureka Transit Service,Humboldt Schedule,GTFS Schedule,primary,2,,fixed-route,City of Eureka,City of Eureka,"Humboldt Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/humboldtcounty-ca-us/humboldtcounty-ca-us.zip,1 checked out of 1,Core,
Redwood Transit System – Humboldt Schedule,Redwood Transit System,Humboldt Schedule,GTFS Schedule,primary,1,"Redwood, SHI",fixed-route,Humboldt Transit Authority,Humboldt Transit Authority,"Humboldt Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/humboldtcounty-ca-us/humboldtcounty-ca-us.zip,1 checked out of 1,Core,
Willow Creek – Humboldt Schedule,Willow Creek,Humboldt Schedule,GTFS Schedule,primary,1,Willow_Creek,fixed-route,Humboldt Transit Authority,Humboldt Transit Authority,"Humboldt Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/humboldtcounty-ca-us/humboldtcounty-ca-us.zip,1 checked out of 1,Core,
NCTD Coaster – North County Schedule,NCTD Coaster,North County Schedule,GTFS Schedule,primary,,,fixed-route,North County Transit District,North County Transit District,North County Transit District,,GTFS Schedule,NA,Unknown,,,,,Ruth emailed rcashin@nctd.org,"398,498",,http://www.gonctd.com/google_transit.zip,1 checked out of 1,Core,
NCTD Sprinter – North County Schedule,NCTD Sprinter,North County Schedule,GTFS Schedule,primary,,,fixed-route,North County Transit District,North County Transit District,North County Transit District,,GTFS Schedule,NA,Unknown,,,,,Ruth emailed rcashin@nctd.org,399,,http://www.gonctd.com/google_transit.zip,1 checked out of 1,Core,
SJRTD Commuter – San Joaquin Schedule,SJRTD Commuter,San Joaquin Schedule,GTFS Schedule,primary,,,fixed-route,San Joaquin Regional Transit District,San Joaquin Regional Transit District,San Joaquin Regional Transit District,San Joaquin Regional Transit District,GTFS Schedule,NA,Provider to Publish,,,,,Agreed to push this out themselves.,"120,150,152,163",,http://sanjoaquinrtd.com/RTD-GTFS/RTD-GTFS.zip,1 checked out of 1,Core,
SJRTD Hopper – San Joaquin Schedule,SJRTD Hopper,San Joaquin Schedule,GTFS Schedule,primary,,,"deviated fixed-route,ADA paratransit,reservations",San Joaquin Regional Transit District,San Joaquin Regional Transit District,San Joaquin Regional Transit District,San Joaquin Regional Transit District,GTFS Schedule,NA,Provider to Publish,Trillium - To code,,,,Agreed to push this out themselves.,"1,2,3,4,5,6,9,90,91,93,95,97",,http://sanjoaquinrtd.com/RTD-GTFS/RTD-GTFS.zip,1 checked out of 1,Core,
SJRTD BRT Express – San Joaquin Schedule,SJRTD BRT Express,San Joaquin Schedule,GTFS Schedule,primary,,,fixed-route,San Joaquin Regional Transit District,San Joaquin Regional Transit District,San Joaquin Regional Transit District,San Joaquin Regional Transit District,GTFS Schedule,NA,Provider to Publish,,,,,Agreed to push this out themselves.,"40,43,44,47,49",,http://sanjoaquinrtd.com/RTD-GTFS/RTD-GTFS.zip,1 checked out of 1,Core,
Edmund D. Edelman Children’s Court Shuttle – LADPW Schedule,Edmund D. Edelman Children’s Court Shuttle,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,13054,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
the Link Willowbrook – LADPW Schedule,the Link Willowbrook,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,"13068,13315",,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
Heights Hopper Shuttle – LADPW Schedule,Heights Hopper Shuttle,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,13053,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
Sunshine Shuttle – LADPW Schedule,Sunshine Shuttle,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,"13058,13059,13060",,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
East Valinda Shuttle – LADPW Schedule,East Valinda Shuttle,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,13051,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
Topanga Beach Bus – LADPW Schedule,Topanga Beach Bus,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,13049,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
Los Angeles County Wellness Center Shuttle – LADPW Schedule,Los Angeles County Wellness Center Shuttle,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,13061,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
El Sol Shuttle – LADPW Schedule,El Sol Shuttle,LADPW Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County,Los Angeles County,"Trillium Inc.,Los Angeles County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,"13055,13056,13057",,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,1 checked out of 1,Core,
OC Bus – OCTA Schedule,OC Bus,OCTA Schedule,GTFS Schedule,primary,,,fixed-route,Orange County Transportation Authority,Orange County Transportation Authority,Orange County Transportation Authority,Orange County Transportation Authority,GTFS Schedule,NA,Unknown,,,,,Via offered to introduce us as part of the Flex rollout,*,,https://octa.net/current/google_transit.zip,1 checked out of 1,Core,
  – Bay Area 511 Schedule, ,Bay Area 511 Schedule,GTFS Schedule,primary,VN,,on-demand,Napa Valley Transportation Authority,Napa Valley Transportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,Trillium - To code,,,,MTC,VN:Yountville Trolley,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
St Helena Shuttle – Bay Area 511 Schedule,St Helena Shuttle,Bay Area 511 Schedule,GTFS Schedule,primary,VN,,"on-demand,fixed-route",Napa Valley Transportation Authority,Napa Valley Transportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,Trillium - To code,,,,MTC,VN:St Helena Shuttle,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
FLX Pacifica – Bay Area 511 Schedule,FLX Pacifica,Bay Area 511 Schedule,GTFS Schedule,primary,SM,,"deviated fixed-route,reservations",San Mateo County Transit District,San Mateo County Transit District,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,Published - Needs Flex Additions,,,,MTC,SM:FLX,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
San Francisco Cable Cars – Bay Area 511 Schedule,San Francisco Cable Cars,Bay Area 511 Schedule,GTFS Schedule,primary,SF,,fixed-route,City and County of San Francisco,City and County of San Francisco,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,"SF:PM,SF:PH,SF:C",,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Muni Metro – Bay Area 511 Schedule,Muni Metro,Bay Area 511 Schedule,GTFS Schedule,primary,SF,,fixed-route,City and County of San Francisco,City and County of San Francisco,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,"SF:J,SF:KT,SF:L,SF:M,SF:N,",,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Market Street Historic Railway – Bay Area 511 Schedule,Market Street Historic Railway,Bay Area 511 Schedule,GTFS Schedule,primary,SF,,fixed-route,City and County of San Francisco,City and County of San Francisco,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,SF:F,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
VTA Bus – Bay Area 511 Schedule,VTA Bus,Bay Area 511 Schedule,GTFS Schedule,primary,SC,,fixed-route,Santa Clara Valley Transportation Authority,Santa Clara Valley Transportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,*,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
VTA Express Bus – Bay Area 511 Schedule,VTA Express Bus,Bay Area 511 Schedule,GTFS Schedule,primary,SC,,fixed-route,Santa Clara Valley Transportation Authority,Santa Clara Valley Transportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,"SC:Express 101,SC:Express 102,SC:Express 103,SC:Express 104,SC:Express 168",,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
VTA ACE Shuttles – Bay Area 511 Schedule,VTA ACE Shuttles,Bay Area 511 Schedule,GTFS Schedule,primary,SC,,fixed-route,Santa Clara Valley Transportation Authority,Santa Clara Valley Transportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,"SC:ACE Gray,SC:ACE GreenSC:ACE Violet,SC:ACE Brown,SC:ACE Yellow,SC:ACE Red,SC:ACE Purple,SC:ACE Orange",,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
WestCAT Lynx Express – Bay Area 511 Schedule,WestCAT Lynx Express,Bay Area 511 Schedule,GTFS Schedule,primary,WC,,fixed-route,Western Contra Costa Transit Authority,Western Contra Costa Transit Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,WC:Lynx,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
WestCAT Express Bus to BART – Bay Area 511 Schedule,WestCAT Express Bus to BART,Bay Area 511 Schedule,GTFS Schedule,primary,WC,,fixed-route,Western Contra Costa Transit Authority,Western Contra Costa Transit Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,"WC:JR,WC:JL,WC:JX,WC:JPX",,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
VTA Rapid Bus – Bay Area 511 Schedule,VTA Rapid Bus,Bay Area 511 Schedule,GTFS Schedule,primary,SC,,fixed-route,Santa Clara Valley Transportation Authority,Santa Clara Valley Transportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,"SC:Rapid 500,SC:Rapid 522,SC:Rapid 523.SC:Rapid 528",,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Valley Medical Center Shuttle – Bay Area 511 Schedule,Valley Medical Center Shuttle,Bay Area 511 Schedule,GTFS Schedule,primary,SC,,fixed-route,Santa Clara Valley Transportation Authority,Santa Clara Valley Transportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,,,,,,MTC,SC:SCVMC,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Healdsburg Shuttle – Bay Area 511 Schedule,Healdsburg Shuttle,Bay Area 511 Schedule,GTFS Schedule,primary,SO,,fixed-route,Sonoma County,Sonoma County,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,SO:67,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Bay Area Rapid Transit – Bay Area 511 Schedule,Bay Area Rapid Transit,Bay Area 511 Schedule,GTFS Schedule,primary,BA,,fixed-route,San Francisco Bay Area Rapid Transit District,San Francisco Bay Area Rapid Transit District,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Provider published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
AC Transit – Bay Area 511 Schedule,AC Transit,Bay Area 511 Schedule,GTFS Schedule,primary,AC,,fixed-route,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Provider published,,,,,MTC,*,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
AC Transit Tempo – Bay Area 511 Schedule,AC Transit Tempo,Bay Area 511 Schedule,GTFS Schedule,primary,AC,,fixed-route,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Provider published,,,,,MTC,AC:1T,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
AC Transit Transbay – Bay Area 511 Schedule,AC Transit Transbay,Bay Area 511 Schedule,GTFS Schedule,primary,AC,,fixed-route,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Provider published,,,,,MTC,"AC:L,AC:J,AC:F,AC:G,AC:LA,AC:NL,AC:,AC:NX,AC:O,AC:P,AC:W,AC:V,AC:E,AC:NX3,AC:OX",,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Caltrain – Bay Area 511 Schedule,Caltrain,Bay Area 511 Schedule,GTFS Schedule,primary,CT,,fixed-route,Peninsula Corridor Joint Powers Board,Peninsula Corridor Joint Powers Board,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Blocked - Vendor,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
VTA School Tripper – Bay Area 511 Schedule,VTA School Tripper,Bay Area 511 Schedule,GTFS Schedule,primary,SC,,fixed-route,Santa Clara Valley Transportation Authority,Santa Clara Valley Transportation Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,"SC:School 246, SC:School 288,SC:School 287,SC:School 288M,SC:School 256,SC:School 270,SC:School 288L,SC:School 247",,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Burney Express – Redding Schedule,Burney Express,Redding Schedule,GTFS Schedule,primary,,burney,on-demand,Shasta County,Redding Area Bus Authority,"Redding Area Bus Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,Needed - Existing GTFS,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/redding-ca-us/redding-ca-us.zip,1 checked out of 1,,
Blue and Gold Fleet – Bay Area Ferries Schedule,Blue and Gold Fleet,Bay Area Ferries Schedule,GTFS Schedule,primary,901,,fixed-route,Blue and Gold Fleet,Blue and Gold Fleet,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,,,,GTFS Schedule Creation,"Get into google,Ask MTC to own","This entity doesn't produce GTFS data and between MTC, WETA, and us we've been able to find the right owner.",,,http://data.trilliumtransit.com/gtfs/bayareaferries-ca-us/bayareaferries-ca-us.zip,1 checked out of 1,Other Transit,
Angel Island-Tiburon Ferry – Bay Area Ferries Schedule,Angel Island-Tiburon Ferry,Bay Area Ferries Schedule,GTFS Schedule,primary,897,,fixed-route,Angel Island-Tiburon Ferry Company,Angel Island-Tiburon Ferry Company,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,,,,GTFS Schedule Creation,"Get into google,Ask MTC to own","This entity doesn't produce GTFS data and between MTC, WETA, and us we've been able to find the right owner.",,,http://data.trilliumtransit.com/gtfs/bayareaferries-ca-us/bayareaferries-ca-us.zip,1 checked out of 1,Other Transit,
Alcatraz Ferry – Bay Area Ferries Schedule,Alcatraz Ferry,Bay Area Ferries Schedule,GTFS Schedule,primary,899,,"reservations,fixed-route",Alcatraz Cruises Inc.,Alcatraz Cruises Inc.,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,,,,GTFS Schedule Creation,"Get into google,Ask MTC to own","This entity doesn't produce GTFS data and between MTC, WETA, and us we've been able to find the right owner.",,,http://data.trilliumtransit.com/gtfs/bayareaferries-ca-us/bayareaferries-ca-us.zip,1 checked out of 1,Other Transit,
