organization_name,mobility_service,agency_id,network_id,route_id,category
Google,Pacific Shores Shuttle,,,,
Greyhound,Greyhound,,,,
Heart of the Valley,Heart of the Valley,,,,
Help of Ojai Inc.,Help of Ojai,,,,
Hi-Desert Memorial Health Care Foundation,Lift Transportation Program,,,,
Home of Guiding Hands,Home of Guiding Hands Transportation Services,,,,
Humboldt Medi-Trans Inc.,Humboldt Medi-Trans,,,,
Humboldt Senior Resource Center,Humboldt Senior Resource Center,,,,
Humboldt Transit Authority,Humboldt Transit Authority Dial-A-Ride,,,,
Humboldt Transit Authority,Redwood Transit System,1,"Redwood, SHI",nan,primary
Humboldt Transit Authority,Redwood Transit System,1,"Redwood, SHI",nan,primary
Humboldt Transit Authority,Redwood Transit System,1,"Redwood, SHI",nan,primary
Humboldt Transit Authority,Redwood Transit System,1,"Redwood, SHI",nan,primary
Humboldt Transit Authority,Samoa Transit System,1716,nan,nan,primary
Humboldt Transit Authority,Samoa Transit System,1716,nan,nan,primary
Humboldt Transit Authority,Samoa Transit System,1716,nan,nan,primary
Humboldt Transit Authority,Samoa Transit System,1716,nan,nan,primary
Humboldt Transit Authority,Willow Creek,1,Willow_Creek,nan,primary
Humboldt Transit Authority,Willow Creek,1,Willow_Creek,nan,primary
Humboldt Transit Authority,Willow Creek,1,Willow_Creek,nan,primary
Humboldt Transit Authority,Willow Creek,1,Willow_Creek,nan,primary
Imperial County Transportation Commission,Imperial Valley Transit,,,,
Imperial County Transportation Commission,IVT Access,,,,
Imperial County Transportation Commission,IVT Meditrans,,,,
Imperial County Transportation Commission,IVT Ride,,,,
Incorporated Senior Citizens of Sierra County,Eastern Sierra County Senior Transportation,,,,
Institute on Aging,Institute on Aging,,,,
Inyo-Mono Association for the Handicapped,Inyo-Mono Association for the Handicapped,,,,
Jovenes de Antaño,Jovenes de Antaño,,,,
Kaiser Permanente,Redwood City Medical Center Shuttle,,,,
Kaiser Permanente,East Bay Kaiser Permanente BART Shuttles,,,,
Karmel Shuttle Service,Karmel Airport Shuttle,,,,
Kern County,Kern Transit,194,nan,nan,primary
Kern County,Mojave Dial-A-Ride,,,,
Kern County,Rosamonde Dial-A-Ride,,,,
Kern County,Tehachapi Dial-A-Ride,,,,
Kern County,Frazier Park Dial-A-Ride,,,,
Kern County,Kern River Valley Dial-A-Ride,,,,
Kern County,Lamont Dial-A-Ride,,,,
Kern County,Bakersfield Medical Dial-A-Ride,,,,
Kern County,Lost Hills Dial-A-Ride,,,,
Kimochi,Kimochi Transportation Services,,,,
Kings County Area Public Transit Agency,KART,nan,nan,nan,primary
Kings County Area Public Transit Agency,KART,nan,nan,nan,primary
Kings County Area Public Transit Agency,KART,nan,nan,nan,primary
Kings County Area Public Transit Agency,KART,nan,nan,nan,primary
Kings County Area Public Transit Agency,KART Paratransit,,,,
Kings County Area Public Transit Agency,KART Flex Route,,,,
Klamath Trinity Non-Emergency Transportation,KT NET,,,,
Lake Transit Authority,Lake Transit,nan,nan,nan,primary
Lake Transit Authority,Lake Transit,nan,nan,nan,primary
Lake Transit Authority,Lake Transit,nan,nan,nan,primary
Lake Transit Authority,Lake Transit,nan,nan,nan,primary
Lake Transit Authority,Clearlake/Lower Lake Dial-A-Ride,,,,
Lake Transit Authority,Lakeport Dial-A-Ride,,,,
Lassen Senior Services Inc.,Lassen Senior Services Shuttle,,,,
Lassen Transit Service Agency,Lassen Rural Bus,nan,nan,nan,primary
Lassen Transit Service Agency,Lassen Rural Bus Dial-A-Ride,,,,
Lassen Transit Service Agency,Eagle Lake Demand Responsive Service,,,,
Lawrence Berkeley National Laboratory,Berkeley Lab Shuttle Bus,,,,
LIFE ElderCare,Life ElderCare,,,,
Limousine Express,Limousine Express Bus,,,,
"Livermore / Amador
  Valley Transit Authority",Tri-Valley Wheels,WH,nan,nan,primary
"Livermore / Amador
  Valley Transit Authority",Tri-Valley Wheels,WH,nan,nan,primary
"Livermore / Amador
  Valley Transit Authority",Tri-Valley Wheels,WH,nan,nan,primary
"Livermore / Amador
  Valley Transit Authority",Tri-Valley Wheels,WH,nan,nan,primary
"Livermore / Amador
  Valley Transit Authority",Tri-Valley Wheels Paratransit,,,,
"Livermore / Amador
  Valley Transit Authority",Wheels School,,,,
Long Beach Transit,Long Beach Transit,nan,nan,nan,primary
Long Beach Transit,Long Beach Transit,nan,nan,nan,primary
Long Beach Transit,Long Beach Transit,nan,nan,nan,primary
Long Beach Transit,Long Beach Transit,nan,nan,nan,primary
Long Beach Transit,Galaxy Express,,,,
Long Beach Transit,AquaLink,,,,
Long Beach Transit,UCLA/Westwood Commuter Express,nan,nan,405,primary
Long Beach Transit,UCLA/Westwood Commuter Express,nan,nan,405,primary
Long Beach Transit,UCLA/Westwood Commuter Express,nan,nan,405,primary
Long Beach Transit,UCLA/Westwood Commuter Express,nan,nan,405,primary
Long Beach Transit,Long Beach Dial-A-Lift,,,,
Los Angeles County,the Link Willowbrook,nan,nan,"13068,13315",primary
Los Angeles County,the Link Lennox,nan,nan,13067,primary
Los Angeles County,the Link-Athens,nan,nan,13062,primary
Los Angeles County,the Link Florence-Firestone/Walnut Park,nan,nan,13065,primary
Los Angeles County,the Link King Medical Center,nan,nan,13066,primary
Los Angeles County,Topanga Beach Bus,nan,nan,13049,primary
Los Angeles County,Acton and Agua Dulce Shuttle,nan,Acton,nan,primary
Los Angeles County,Avocado Heights/Bassett/West Valinda Shuttle,nan,nan,13050,primary
Los Angeles County,East Valinda Shuttle,nan,nan,13051,primary
Los Angeles County,Edmund D. Edelman Children’s Court Shuttle,nan,nan,13054,primary
Los Angeles County,Heights Hopper Shuttle,nan,nan,13053,primary
Los Angeles County,the Link-Baldwin Hills Parklands,nan,nan,13063,primary
Los Angeles County,El Sol Shuttle,nan,nan,"13055,13056,13057",primary
Los Angeles County,Los Angeles County Wellness Center Shuttle,nan,nan,13061,primary
Los Angeles County,Los Angeles County Wellness Center Shuttle,nan,nan,13061,primary
Los Angeles County,Sunshine Shuttle,nan,nan,"13058,13059,13060",primary
Los Angeles County,Willowbrook Demand Response,,,,
Los Angeles County Metropolitan Transportation Authority,LA Metro Bus,nan,nan,nan,primary
Los Angeles County Metropolitan Transportation Authority,LA Metro Bus,nan,nan,nan,primary
Los Angeles County Metropolitan Transportation Authority,LA Metro Bus,nan,nan,nan,primary
Los Angeles County Metropolitan Transportation Authority,LA Metro Bus,nan,nan,nan,primary
Los Angeles County Metropolitan Transportation Authority,LA Metro Rail,nan,nan,nan,primary
Los Angeles County Metropolitan Transportation Authority,LA Metro Rail,nan,nan,nan,primary
Los Angeles County Metropolitan Transportation Authority,LA Metro Rail,nan,nan,nan,primary
Los Angeles County Metropolitan Transportation Authority,LA Metro Rail,nan,nan,nan,primary
Los Angeles County Metropolitan Transportation Authority,LA Metro Micro,,,,
Los Angeles World Airports,LAX Fly Away,nan,nan,nan,primary
Loyola Marymount University,LMU Shuttle,,,,
Madera County,Madera County Connection,nan,nan,nan,primary
Madera County,Madera County Connection,nan,nan,nan,primary
Madera County,Madera County Connection,nan,nan,nan,primary
Madera County,Madera County Connection,nan,nan,nan,primary
Madera County,Eastern Madera County Medical Escort Van,,,,
Madera County,Eastern Madera County Senior Bus,,,,
Marin Airporter,Marin Airporter,,,,
Marin County Transit District,Marin Access Paratransit,,,,
Marin County Transit District,Marin Transit,MA,nan,nan,primary
Marin County Transit District,Marin Transit,MA,nan,nan,primary
Marin County Transit District,Marin Transit,MA,nan,nan,primary
Marin County Transit District,Marin Transit,MA,nan,nan,primary
Marin County Transit District,Muir Woods Shuttle,,,,
Marin County Transit District,Marin Transit Connect,,,,
Marin County Transit District,West Marin Stagecoach,nan,nan,"MA:68,MA:61M,MA:61",primary
Marin County Transit District,West Marin Stagecoach,nan,nan,"MA:68,MA:61M,MA:61",primary
Marin County Transit District,West Marin Stagecoach,nan,nan,"MA:68,MA:61M,MA:61",primary
Marin County Transit District,West Marin Stagecoach,nan,nan,"MA:68,MA:61M,MA:61",primary
Marin County Transit District,Novato Dial-A-Ride,,,,
Marin County Transit District,Dillon Beach/Tomales Dial-A-Ride,,,,
Marin County Transit District,Point Reyes Dial-A-Ride,,,,
Marin County Transit District,Marin Catch-A-Ride,,,,
Mariposa County,MariGo,,,,
Mariposa County,Mariposa Medi-Trans,,,,
Marymount College California,Marymount Campus Shuttle,,,,
Megabus,Megabus,,,,
Mendocino Transit Authority,Mendocino Transit Authority,nan,nan,nan,primary
Mendocino Transit Authority,Ukiah Dial-A-Ride,,,,
Mendocino Transit Authority,Fort Bragg Dial-A-Ride,,,,
Mendocino Transit Authority,Ukiah Paratransit,,,,
Mendocino Transit Authority,Fort Bragg Paratransit,,,,
Mendocino Transit Authority,Willits Paratransit,,,,
Menlo Park Shuttles,Menlo Park Shuttles,nan,nan,nan,primary
Milestones of Development,Milestones of Development,,,,
Mission Bay Transportation Management Agency,Mission Bay Shuttles,nan,nan,nan,primary
Mobility Matters,Mobility Matters Rides for Seniors,,,,
Mobility Matters,Mobility Matters Rides 4 Veterans,,,,
Modoc Transportation Authority ,Sage Stage Local,,,,
Modoc Transportation Authority ,Sage Stage Intercity,nan,nan,nan,primary
Mono County,Mono County Senior Transportation,,,,
Monterey-Salinas Transit,Monterey-Salinas Transit,nan,nan,*,primary
Monterey-Salinas Transit,Monterey-Salinas Transit,nan,nan,*,primary
Monterey-Salinas Transit,Monterey-Salinas Transit,nan,nan,*,primary
Monterey-Salinas Transit,Monterey-Salinas Transit,nan,nan,*,primary
Monterey-Salinas Transit,MST Monterey Trolley,,,,
Monterey-Salinas Transit,Carmel Valley Grapevine Express,nan,nan,024,primary
Monterey-Salinas Transit,Carmel Valley Grapevine Express,nan,nan,024,primary
Monterey-Salinas Transit,Carmel Valley Grapevine Express,nan,nan,024,primary
Monterey-Salinas Transit,Carmel Valley Grapevine Express,nan,nan,024,primary
Monterey-Salinas Transit,MST RIDES,,,,
Monterey-Salinas Transit,MST Taxi Vouchers,,,,
Monterey-Salinas Transit,MST Senior Shuttles,nan,nan,"091,092,093,094,095",primary
Monterey-Salinas Transit,MST Senior Shuttles,nan,nan,"091,092,093,094,095",primary
Monterey-Salinas Transit,MST Senior Shuttles,nan,nan,"091,092,093,094,095",primary
Monterey-Salinas Transit,MST Senior Shuttles,nan,nan,"091,092,093,094,095",primary
Monterey-Salinas Transit,MST Special Medical Trips,,,,
Monument Impact Inc.,Monument Community Shuttle,,,,
Morongo Band of Mission Indians,Morongo Dial-A-Ride,,,,
Morongo Basin Transit Authority,MBTA Bus,nan,nan,nan,primary
Morongo Basin Transit Authority,MBTA Ready Ride,,,,
Mountain Area Regional Transit Authority,Mountain Transit,nan,nan,nan,primary
Mountain Area Regional Transit Authority,Mountain Transit Weekend Trolley,,,,
Mountain Area Regional Transit Authority,Mountain Transit Dial-A-Ride,,,,
Mountain Shadows Support Group,Mountain Shadows Transportation ,,,,
Mountain View Transportation Management Association,Mountain View Community Shuttle,,,,
Mountain View Transportation Management Association,MVGO,nan,nan,nan,primary
Mountain View Transportation Management Association,MVGO,nan,nan,nan,primary
Mountain View Transportation Management Association,MVGO,nan,nan,nan,primary
Mountain View Transportation Management Association,MVGO,nan,nan,nan,primary
MOVE Stanislaus,VetsVan,,,,
MOVE Stanislaus,Volunteers on the Go,,,,
Napa Valley Transportation Authority,Vine Transit,VN,nan,*,primary
Napa Valley Transportation Authority,Vine Transit,VN,nan,*,primary
Napa Valley Transportation Authority,Vine Transit,VN,nan,*,primary
Napa Valley Transportation Authority,Vine Transit,VN,nan,*,primary
Napa Valley Transportation Authority,Yountville Trolley,VN,nan,VN:Yountville Trolley,primary
Napa Valley Transportation Authority,Yountville Trolley,VN,nan,VN:Yountville Trolley,primary
Napa Valley Transportation Authority,Yountville Trolley,VN,nan,VN:Yountville Trolley,primary
Napa Valley Transportation Authority,Yountville Trolley,VN,nan,VN:Yountville Trolley,primary
Napa Valley Transportation Authority,Calistoga Shuttle,,,,
Napa Valley Transportation Authority,St Helena Shuttle,VN,nan,VN:St Helena Shuttle,primary
Napa Valley Transportation Authority,St Helena Shuttle,VN,nan,VN:St Helena Shuttle,primary
Napa Valley Transportation Authority,St Helena Shuttle,VN,nan,VN:St Helena Shuttle,primary
Napa Valley Transportation Authority,St Helena Shuttle,VN,nan,VN:St Helena Shuttle,primary
Napa Valley Transportation Authority,Taxi Scrip,,,,
Napa Valley Transportation Authority,Vine Go,,,,
Napa Valley Transportation Authority,American Canyon Transit,VN,nan,VN:American Canyon Transit,primary
Napa Valley Transportation Authority,City of Napa On-Demand,,,,
Nevada County,Nevada County Connects,nan,nan,nan,primary
Nevada County,Nevada County Connects,nan,nan,nan,primary
Nevada County,Nevada County Connects,nan,nan,nan,primary
Nevada County,Nevada County Connects,nan,nan,nan,primary
Nevada County,Nevada County Now,,,,
North County Transit District,NCTD Coaster,nan,nan,"398,498",primary
North County Transit District,NCTD Coaster,nan,nan,"398,498",primary
North County Transit District,NCTD Coaster,nan,nan,"398,498",primary
North County Transit District,NCTD Coaster,nan,nan,"398,498",primary
North County Transit District,NCTD Sprinter,nan,nan,399,primary
North County Transit District,NCTD Sprinter,nan,nan,399,primary
North County Transit District,NCTD Sprinter,nan,nan,399,primary
North County Transit District,NCTD Sprinter,nan,nan,399,primary
North County Transit District,NCTD BREEZE,nan,nan,*,primary
North County Transit District,NCTD BREEZE,nan,nan,*,primary
North County Transit District,NCTD BREEZE,nan,nan,*,primary
North County Transit District,NCTD BREEZE,nan,nan,*,primary
North County Transit District,NCTD FLEX,,,,
North County Transit District,NCTD LIFT,,,,
North Fork Rancheria of Mono Indians of California,North Fork Rancheria Tribal Transit Program,,,,
North Lake Tahoe Express,North Lake Tahoe Express,904,nan,nan,primary
North of River Recreation and Park District,North of River Recreation and Park District,,,,
Northern Inyo Healthcare Foundation,CAREshuttle,,,,
Northrop Grumman,Northrop Grumman Shuttle,,,,
OmniTrans,OmniTrans,nan,nan,*,primary
OmniTrans,OmniRide,,,,
OmniTrans,OmniTrans sbX,nan,nan,10330,primary
OmniTrans,OmniAccess,,,,
On Lok,On Lok Senior Health Services,,,,
Oracle Inc.,Oracle Shuttle,,,,
Orange County Transportation Authority,Irvine Shuttle,nan,nan,"400,401,403,405",primary
Orange County Transportation Authority,Irvine Shuttle,nan,nan,"400,401,403,405",primary
Orange County Transportation Authority,Irvine Shuttle,nan,nan,"400,401,403,405",primary
Orange County Transportation Authority,Irvine Shuttle,nan,nan,"400,401,403,405",primary
Orange County Transportation Authority,OC Bus,nan,nan,*,primary
Orange County Transportation Authority,OC Bus,nan,nan,*,primary
Orange County Transportation Authority,OC Bus,nan,nan,*,primary
Orange County Transportation Authority,OC Bus,nan,nan,*,primary
Orange County Transportation Authority,OC Flex,,,,
Orange County Transportation Authority,OC Access,,,,
Orange County Transportation Authority,OC Streetcar,,,,
OUTREACH,OUTREACH Senior and Disabled Transportation and Resources,,,,
Pace Solano,Pace Solano,,,,
Palo Verde Valley Transit Agency,Desert Roadrunner,nan,nan,nan,primary
Palos Verdes Peninsula Transit Authority,Palos Verdes Peninsula Transit Authority,nan,nan,nan,primary
Peninsula Corridor Joint Powers Board,Caltrain,CT,nan,nan,primary
Peninsula Corridor Joint Powers Board,Caltrain,CT,nan,nan,primary
Peninsula Corridor Joint Powers Board,Caltrain,CT,nan,nan,primary
Peninsula Corridor Joint Powers Board,Caltrain,CT,nan,nan,primary
Peninsula Corridor Joint Powers Board,Caltrain Shuttles,,,,
Peninsula Jewish Community Center,Get Up & Go,,,,
"Peninsula Volunteers, Inc.",Little House Transportation,,,,
Peppermint Ridge,Peppermint Ridge,,,,
Philippines Airlines,PAL LAX to San Diego Shuttle,,,,
Placer County,Placer County Transit,nan,nan,nan,primary
Placer County,Placer County Dial-A-Ride,,,,
Placer County,Placer Commuter Express,nan,nan,11117,primary
Playa Vista,Playa Vista Shuttle,,,,
Plumas County,Plumas County Senior Transportation,,,,
Plumas Transit Systems,Plumas Transit Systems,nan,nan,nan,primary
Point Loma Nazarene University,Point Loma University Shuttle,,,,
Pomona Valley Transportation Authority,Claremont Dial-A-Ride,,,,
Pomona Valley Transportation Authority,San Dimas Dial-A-Cab,,,,
Pomona Valley Transportation Authority,One Step,,,,
Pomona Valley Transportation Authority,Get About,,,,
Pomona Valley Transportation Authority,Ready Now,,,,
Porterville Sheltered Workshop,Porterville Sheltered Workshop Transportation Services,,,,
Presidio Trust,PresidiGo,nan,nan,nan,primary
Presidio Trust,PresidiGo,nan,nan,nan,primary
Presidio Trust,PresidiGo,nan,nan,nan,primary
Presidio Trust,PresidiGo,nan,nan,nan,primary
Pride Industries Inc.,Pride Industries Transportation,,,,
Prime Time Shuttle,Prime Time Airport Shuttle,,,,
Reach Out Morongo Basin,Reach Out Morongo Basin,,,,
Redding Area Bus Authority,Redding Area Bus Authority,nan,*,nan,primary
Redding Area Bus Authority,Redding Area Bus Authority,nan,*,nan,primary
Redding Area Bus Authority,Redding Area Bus Authority,nan,*,nan,primary
Redding Area Bus Authority,Redding Area Bus Authority,nan,*,nan,primary
Redding Area Bus Authority,Redding Area Paratransit,,,,
Redwood Coast Seniors,Redwood Coast Senior Rides,,,,
Redwood Coast Transit Authority,Redwood Coast Transit,nan,nan,nan,primary
Redwood Coast Transit Authority,Redwood Coast Transit,nan,nan,nan,primary
Redwood Coast Transit Authority,Redwood Coast Transit,nan,nan,nan,primary
Redwood Coast Transit Authority,Redwood Coast Transit,nan,nan,nan,primary
Redwood Coast Transit Authority,Redwood Coast Dial-A-Ride,,,,
Regional Center for the East Bay,Regional Center for the East Bay,,,,
Ride On,Ride On Access Shuttle,,,,
Ride On,Veteren's Express,,,,
Ride On,Ride On Shuttle Services,,,,
Rio Hondo College,Rio Hondo College TRAM,,,,
Riverside Transit Agency,Riverside Transit,nan,nan,nan,primary
Riverside Transit Agency,Riverside Transit,nan,nan,nan,primary
Riverside Transit Agency,Riverside Transit,nan,nan,nan,primary
Riverside Transit Agency,Riverside Transit,nan,nan,nan,primary
Riverside Transit Agency,Riverside Transit Dial-A-Ride,,,,
Riverside University Health System,Riverside University Health System Courtesy Van,,,,
Roadrunner Shuttle and Limousine Service,SBA Shuttle,,,,
Sacramento County,South County Transit Link,nan,nan,nan,primary
Sacramento County,South County Transit Dial-A-Ride,,,,
Sacramento Regional Transit District,SacRT Light Rail,SRTD,nan,"507,519,533",primary
Sacramento Regional Transit District,SacRT Light Rail,SRTD,nan,"507,519,533",primary
Sacramento Regional Transit District,SacRT Light Rail,SRTD,nan,"507,519,533",primary
Sacramento Regional Transit District,SacRT Light Rail,SRTD,nan,"507,519,533",primary
Sacramento Regional Transit District,e-van,,,,
Sacramento Regional Transit District,SacRT GO,,,,
Sacramento Regional Transit District,Elk Grove Transit Services,nan,nan,nan,primary
Sacramento Regional Transit District,Elk Grove Transit Services,nan,nan,nan,primary
Sacramento Regional Transit District,Elk Grove Transit Services,nan,nan,nan,primary
Sacramento Regional Transit District,Elk Grove Transit Services,nan,nan,nan,primary
Sacramento Regional Transit District,Elk Grove Transit Services,SRTD,nan,"E111,E112,E113",primary
Sacramento Regional Transit District,Elk Grove Transit Services,SRTD,nan,"E111,E112,E113",primary
Sacramento Regional Transit District,Elk Grove Transit Services,SRTD,nan,"E111,E112,E113",primary
Sacramento Regional Transit District,Elk Grove Transit Services,SRTD,nan,"E111,E112,E113",primary
Sacramento Regional Transit District,Folsom Stage Line,nan,nan,nan,primary
Sacramento Regional Transit District,Folsom Stage Line,SRTD,nan,"F10,F20,F30",primary
Sacramento Regional Transit District,Folsom Stage Line,SRTD,nan,"F10,F20,F30",primary
Sacramento Regional Transit District,Folsom Stage Line,SRTD,nan,"F10,F20,F30",primary
Sacramento Regional Transit District,Causeway Connection,SRTD,nan,138,primary
Sacramento Regional Transit District,Causeway Connection,SRTD,nan,138,primary
Sacramento Regional Transit District,Causeway Connection,SRTD,nan,138,primary
Sacramento Regional Transit District,Causeway Connection,SRTD,nan,138,primary
Sacramento Regional Transit District,Sacramento Airport Express,SRTD,nan,142,primary
Sacramento Regional Transit District,Sacramento Airport Express,SRTD,nan,142,primary
Sacramento Regional Transit District,Sacramento Airport Express,SRTD,nan,142,primary
Sacramento Regional Transit District,Sacramento Airport Express,SRTD,nan,142,primary
Sacramento Regional Transit District,SacRT Bus,SRTD,nan,*,primary
Sacramento Regional Transit District,SacRT Bus,SRTD,nan,*,primary
Sacramento Regional Transit District,SacRT Bus,SRTD,nan,*,primary
Sacramento Regional Transit District,SacRT Bus,SRTD,nan,*,primary
Sacramento Regional Transit District,SacRT Neighborhood Ride,,,,
Sacramento State University,Hornet Shuttle,,,,
Sacramento State University,Herky Streetcar,,,,
Sally's Fund,Sally's Fund,,,,
San Benito County Local Transportation Authority,County Express On-Demand,,,,
San Benito County Local Transportation Authority,County Express,nan,nan,nan,primary
San Benito County Local Transportation Authority,County Express Dial-A Ride,,,,
San Diego International Airport,San Diego Flyer,,,,
San Diego International Airport,SAN Trolley to Terminal Shuttle,nan,nan,AIR,primary
San Diego Metropolitan Transit System,SDG&E Silver Line Vintage Trolley,,,,
San Diego Metropolitan Transit System,MTS Bus,nan,nan,nan,primary
San Diego Metropolitan Transit System,MTS Bus,nan,nan,nan,primary
San Diego Metropolitan Transit System,MTS Bus,nan,nan,*,primary
San Diego Metropolitan Transit System,MTS Bus,nan,nan,nan,primary
San Diego Metropolitan Transit System,MTS Bus,nan,nan,nan,primary
San Diego Metropolitan Transit System,MTS Rapid,nan,nan,nan,primary
San Diego Metropolitan Transit System,MTS Rapid,nan,nan,"201,202,204,215,225,237,237,280,290",primary
San Diego Metropolitan Transit System,MTS Rapid,nan,nan,nan,primary
San Diego Metropolitan Transit System,MTS Rapid,nan,nan,nan,primary
San Diego Metropolitan Transit System,San Diego Trolley,nan,nan,nan,primary
San Diego Metropolitan Transit System,San Diego Trolley,nan,nan,"510,520,530",primary
San Diego Metropolitan Transit System,San Diego Trolley,nan,nan,nan,primary
San Diego Metropolitan Transit System,San Diego Trolley,nan,nan,nan,primary
San Diego Transit Corporation,MTS Access,,,,
San Francisco Bay Area Rapid Transit District,Bay Area Rapid Transit,BA,nan,nan,primary
San Francisco Bay Area Rapid Transit District,Bay Area Rapid Transit,BA,nan,nan,primary
San Francisco Bay Area Rapid Transit District,Bay Area Rapid Transit,BA,nan,nan,primary
San Francisco Bay Area Water Emergency Transit Authority,San Francisco Bay Ferry,SB,nan,nan,primary
San Francisco Bay Area Water Emergency Transit Authority,San Francisco Bay Ferry Giants Service,,,,
San Francisco International Airport,SFO AirTrain,SI,nan,nan,primary
San Joaquin Joint Powers Authority,Amtrak San Joaquins,nan,nan,26025,primary
San Joaquin Regional Rail Commission,Altamont Corridor Express,CE,nan,nan,primary
San Joaquin Regional Transit District,SJRTD Local,nan,nan,*,primary
San Joaquin Regional Transit District,SJRTD Local,nan,nan,*,primary
San Joaquin Regional Transit District,SJRTD Local,nan,nan,*,primary
San Joaquin Regional Transit District,SJRTD Local,nan,nan,*,primary
San Joaquin Regional Transit District,SJRTD BRT Express,nan,nan,"40,43,44,47,49",primary
San Joaquin Regional Transit District,SJRTD BRT Express,nan,nan,"40,43,44,47,49",primary
San Joaquin Regional Transit District,SJRTD BRT Express,nan,nan,"40,43,44,47,49",primary
San Joaquin Regional Transit District,SJRTD BRT Express,nan,nan,"40,43,44,47,49",primary
San Joaquin Regional Transit District,SJRTD Commuter,nan,nan,"120,150,152,163",primary
San Joaquin Regional Transit District,SJRTD Commuter,nan,nan,"120,150,152,163",primary
San Joaquin Regional Transit District,SJRTD Commuter,nan,nan,"120,150,152,163",primary
San Joaquin Regional Transit District,SJRTD Commuter,nan,nan,"120,150,152,163",primary
San Joaquin Regional Transit District,SJRTD Hopper,nan,nan,"1,2,3,4,5,6,9,90,91,93,95,97",primary
San Joaquin Regional Transit District,SJRTD Hopper,nan,nan,"1,2,3,4,5,6,9,90,91,93,95,97",primary
San Joaquin Regional Transit District,SJRTD Hopper,nan,nan,"1,2,3,4,5,6,9,90,91,93,95,97",primary
San Joaquin Regional Transit District,SJRTD Hopper,nan,nan,"1,2,3,4,5,6,9,90,91,93,95,97",primary
San Joaquin Regional Transit District,RTD Van Go!,,,,
San Joaquin Regional Transit District,RTD Dial-A-Ride,,,,
San Leandro Transportation Management Organization,San Leandro LINKS,,,,
San Luis Obispo Regional Transit Authority ,Paso Express,nan,nan,"A,B",primary
San Luis Obispo Regional Transit Authority ,South County Area Transit,nan,nan,"21,24,27,28",primary
San Luis Obispo Regional Transit Authority ,San Luis Obispo Regional Transit Authority,nan,nan,*,primary
San Luis Obispo Regional Transit Authority ,Avila Beach Trolly,,,,
San Luis Obispo Regional Transit Authority ,Runabout Paratransit,,,,
San Luis Obispo Regional Transit Authority ,Senior Go!,,,,
San Luis Obispo Regional Transit Authority ,SLO Dial-A-Ride,,,,
San Luis Obispo Regional Transit Authority ,Shandon-Paso Robles Dial-A-Ride,,,,
San Luis Obispo Regional Transit Authority ,Templeton-Paso Robles Dial-A-Ride,,,,
San Luis Obispo Regional Transit Authority ,Paso Robles Dial-A-Ride,,,,
San Luis Obispo Regional Transit Authority ,Nipomo Dial-A-Ride,,,,
San Mateo County Transit District,SamTrans,SM,nan,*,primary
San Mateo County Transit District,SamTrans,SM,nan,*,primary
San Mateo County Transit District,SamTrans,SM,nan,*,primary
San Mateo County Transit District,SamTrans,SM,nan,*,primary
San Mateo County Transit District,Redi-Wheels,,,,
San Mateo County Transit District,RediCoast,,,,
San Mateo County Transit District,Bayshore Brisbane Senior Shuttle,,,,
San Mateo County Transit District,SamTrans Shuttles,,,,
San Mateo County Transit District,SamCoast,,,,
San Mateo County Transit District,FLX Pacifica,SM,nan,SM:FLX,primary
San Mateo County Transit District,FLX Pacifica,SM,nan,SM:FLX,primary
San Mateo County Transit District,FLX Pacifica,SM,nan,SM:FLX,primary
San Mateo County Transit District,FLX Pacifica,SM,nan,SM:FLX,primary
San Mateo County Transit District,Bayhill San Bruno Shuttle,,,,
Walmart Inc.,Bayhill San Bruno Shuttle,,,,
Santa Barbara County Association of Governments,Clean Air Express,nan,nan,nan,primary
Santa Barbara Metropolitan Transit District,Santa Barbara Metropolitan Transit District,nan,nan,nan,primary
Santa Barbara Metropolitan Transit District,Santa Barbara Metropolitan Transit District,nan,nan,nan,primary
Santa Barbara Metropolitan Transit District,Santa Barbara Metropolitan Transit District,nan,nan,nan,primary
Santa Barbara Metropolitan Transit District,Santa Barbara Metropolitan Transit District,nan,nan,nan,primary
Santa Clara Valley Transportation Authority,VTA Light Rail,SC,nan,"SC:Green Line,SC:Blue Line,SC:Orange Line",primary
Santa Clara Valley Transportation Authority,VTA Light Rail,SC,nan,"SC:Green Line,SC:Blue Line,SC:Orange Line",primary
Santa Clara Valley Transportation Authority,VTA Light Rail,SC,nan,"SC:Green Line,SC:Blue Line,SC:Orange Line",primary
Santa Clara Valley Transportation Authority,VTA Light Rail,SC,nan,"SC:Green Line,SC:Blue Line,SC:Orange Line",primary
Santa Clara Valley Transportation Authority,VTA Rapid Bus,SC,nan,"SC:Rapid 500,SC:Rapid 522,SC:Rapid 523.SC:Rapid 528",primary
Santa Clara Valley Transportation Authority,VTA Rapid Bus,SC,nan,"SC:Rapid 500,SC:Rapid 522,SC:Rapid 523.SC:Rapid 528",primary
Santa Clara Valley Transportation Authority,VTA Rapid Bus,SC,nan,"SC:Rapid 500,SC:Rapid 522,SC:Rapid 523.SC:Rapid 528",primary
Santa Clara Valley Transportation Authority,VTA Rapid Bus,SC,nan,"SC:Rapid 500,SC:Rapid 522,SC:Rapid 523.SC:Rapid 528",primary
Santa Clara Valley Transportation Authority,VTA Express Bus,SC,nan,"SC:Express 101,SC:Express 102,SC:Express 103,SC:Express 104,SC:Express 168",primary
